track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood
1JiR4RJaZlbZ5b3HG8jkeL,"['Wizkid', 'Skepta']",Made In Lagos,Longtime (feat. Skepta),55,239893,1,0.85,0.66,11,-4.846,0,0.169,0.417,5.14e-05,0.209,0.622,101.947,4,dancehall,0.7106666666666667
6cfNBFSKFB59wO8xIFZ0qI,['Ivan komarenko'],Tango saute,Dom na wiślanym brzegu,31,209093,0,0.64,0.758,9,-7.31,0,0.0675,0.497,0.0,0.0506,0.849,106.978,4,disco,0.749
5VcFzH97JEHgXgedErp4cP,['Jayla Darden'],"Ideas, Vol. 2",Idea 686,53,163235,0,0.712,0.347,0,-10.363,0,0.041,0.378,0.0212,0.111,0.5,135.975,4,chill,0.5196666666666666
7oMBY3VmIxqNVeZ7yneYuN,['Chino & Nacho'],Perreo Tenebroso Vol. 2,Me Voy Enamorando,0,235720,0,0.686,0.912,10,-3.411,1,0.0685,0.0533,0.0,0.392,0.511,99.952,4,electro,0.703
7g8U2TPh6JPFJK5LgqsNeE,['Linkin Park'],Transformers - The Album,What I've Done,31,205613,0,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4,grunge,0.6133333333333333
196ZNihAwp7y7Ao4YfSdIx,['Kid Abelha'],Educação Sentimental,Educação sentimental II,41,291906,0,0.659,0.712,1,-9.233,0,0.0263,0.00673,0.00128,0.17,0.857,139.678,4,r-n-b,0.7426666666666666
2iwJ7fMxCZSYO46ZwKczjT,['MR TOUT LE MONDE'],SUN,Searching,53,209910,0,0.586,0.811,8,-12.527,1,0.0364,0.0666,0.631,0.318,0.0383,122.014,4,french,0.4784333333333333
4IzC7Cv60AgXj2rIW1N84M,['Nonpalidece'],Activistas,Herencia,38,226869,0,0.715,0.466,5,-11.862,0,0.0896,0.00334,2.23e-06,0.355,0.691,144.098,4,ska,0.624
5Sif2EoFy6jvZ31s0wsB6Y,"['Pritam', 'Shaan', 'Muazzam', 'Rizwan Ali Khan']",Rush,Chup Chup Ke,58,229651,0,0.691,0.738,9,-5.922,1,0.0865,0.711,0.0,0.397,0.871,90.033,4,indian,0.7666666666666666
3hboOw4dS0aXGuP0fyyvbC,['Tenille Arts'],"Love, Heartbreak, & Everything in Between",Somebody Like That,72,198208,0,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,4,country,0.6506666666666666
1pIynPOpqprpV4WguxHFIy,"['Atsuko Takezawa', 'Erika Shiraishi', 'Hozumi Shibata', 'Mayumi Makino', 'Yukari Fujii']",Hercules (Original Motion Picture Soundtrack/Japanese Version),Zero to Hero - Japanese Version,29,138013,0,0.48,0.594,0,-12.283,1,0.233,0.564,0.0,0.801,0.81,164.668,4,disney,0.628
4ncp2DWzx9EQfaJmOdf45s,"['Vendredi', 'Son&Dad']",Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs,Just The Two Of Us - Acoustic,28,124742,0,0.462,0.424,5,-7.038,0,0.0301,0.883,0.0,0.147,0.564,97.675,4,acoustic,0.48333333333333334
0N4FgQoqMlmMPikactFwtE,['WEDNESDAY CAMPANELLA'],Neon,Edison,51,193510,0,0.838,0.729,1,-5.733,0,0.0802,0.0195,0.0089,0.101,0.619,129.999,4,j-dance,0.7286666666666667
0u9cZveZpqEwpaP5fX6UgR,['Şehinşah'],Denetimli Serbestlik Stili (Deluxe),Hiphop Okulu,49,210837,1,0.807,0.631,7,-8.03,1,0.338,0.171,0.0,0.271,0.748,89.983,4,turkish,0.7286666666666667
4BMHp3DkI8VLsuB9Kr0pzu,"['Ludovico Einaudi', 'Robert Ziegler', 'Royal Philharmonic Orchestra']",Divenire (Deluxe Edition),Primavera,62,442400,0,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,3,classical,0.19099999999999998
3IUpuyEMIgt4GvEZ2TqERF,['Chuck Berry'],Jingle Bell Rock 2022,Run Rudolph Run,0,162897,0,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,blues,0.824
6I7FFkcXS58luQoYLzPHi3,"['F.O.O.L', 'Power Glove']",Mercenary,Mercenary,56,219818,1,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4,club,0.5326666666666667
4GPQDyw9hC1DiZVh0ouDVL,['The Black Keys'],OK Boomers - Top Tunes,Keep My Name Outta Your Mouth,0,189356,0,0.597,0.702,11,-4.767,1,0.0445,0.0197,0.01,0.125,0.645,83.507,4,blues,0.648
2IERCI65gkNfWDf71WDdVy,['Henrique & Juliano'],Novas Histórias (Ao Vivo),Contar Pra Quê - Ao Vivo,50,194815,0,0.611,0.626,0,-6.175,1,0.0529,0.644,0.0,0.449,0.468,153.942,4,sertanejo,0.5683333333333334
6ObXqVTebtSXcaA2WnMI30,"['Linn da Quebrada', 'Podeserdesligado', 'Ventura Profana']",PAJUBÁ REMIX I,Ventura Profana & Podeserdesligado * Bixa Travesty - Poder & Glória (Remix),23,212727,0,0.711,0.861,1,-4.904,1,0.13,0.0747,0.000763,0.123,0.451,131.798,4,club,0.6743333333333333
0Yx7y8iNLgZx1EegLA7Bjq,['The Tony Danza Tapdance Extravaganza'],The Tony Danza Tap Dance Extravaganza,I Bet Heaven Looks Alot Like Talledega,14,172893,0,0.249,0.704,10,-9.094,0,0.116,2.35e-06,0.507,0.0808,0.419,114.702,4,grindcore,0.4573333333333333
4HEhS3sdZu5X2c7oLOEry1,"['Morgan Evans', 'Kelsea Ballerini']",Laidback Country,Dance with Me,0,199501,0,0.611,0.519,1,-9.854,1,0.035,0.481,4.82e-06,0.107,0.462,147.979,4,country,0.5306666666666666
28LJW3xalJfLUIx7VHOpF6,['Nogizaka46'],おいでシャンプー TypeC,狼に口笛を,24,178840,0,0.499,0.924,4,-3.138,1,0.0704,0.0892,0.0,0.405,0.548,160.015,4,j-idol,0.657
2uUeFEF4hmM0rjFfvA4nxF,['André Valadão'],Que Se Abram Os Céus,Que Se Abram Os Céus,44,307944,0,0.608,0.427,2,-9.294,1,0.0289,0.726,0.0,0.0762,0.223,128.041,4,gospel,0.41933333333333334
4jEgIGTiWCziKA6ExSttMX,['Tristam'],Till It's Over,Till It's Over,55,270545,0,0.61,0.836,7,-6.428,0,0.089,0.123,0.0,0.164,0.329,110.032,4,dubstep,0.5916666666666667
0laEXE6mKdErCC67yhsHaO,['Mipso'],Mipso,Caroline,52,215040,0,0.622,0.357,9,-15.463,1,0.0496,0.936,0.315,0.113,0.39,97.077,4,bluegrass,0.4563333333333333
5gRjZANENPGzKGrOsBIVUa,['Bush'],Post-Millennial Noise,Headful of Ghosts,0,261293,0,0.432,0.706,5,-5.061,1,0.0426,0.00108,0.0,0.378,0.29,136.981,4,metal,0.476
2dz2ynnOWIWA4V1orUtwIu,['Inner City'],80s Party Hits,Good Life,5,244773,0,0.716,0.783,4,-12.876,0,0.0496,0.173,0.0325,0.0327,0.952,121.307,4,detroit-techno,0.8170000000000001
0Cf9QHPb1pUbA7Vwyw1vYk,['Revolting Cocks'],Big Sexy Land,38,20,250761,0,0.528,0.972,10,-12.377,0,0.0325,0.000329,0.566,0.0771,0.273,141.132,4,industrial,0.5910000000000001
5vXsj8L4DK1gGQ43BBG028,"['Kenny Rogers', 'Sheena Easton']",We've Got Tonight,We've Got Tonight,66,234560,0,0.543,0.227,8,-11.247,1,0.0298,0.767,4.29e-05,0.103,0.292,123.548,4,country,0.35400000000000004
5Xa8AhVrlg4W5deVWGb22G,['Winds of Plague'],Decimate the Weak,Legions,21,229453,0,0.225,0.929,2,-4.92,0,0.172,7.1e-05,0.945,0.148,0.0574,117.079,4,black-metal,0.4038
6Oq34Yl78rsHSJ5jbVL2Bp,['Matheus & Kauan'],Expectativa x Realidade,Seu Beijo Fez Isso,47,200725,0,0.477,0.77,0,-6.711,1,0.0524,0.275,0.0,0.184,0.77,181.924,4,sertanejo,0.6723333333333333
56urRCfhQX5H3tfGt6q3uU,"['DJ Snake', 'Travis Scott', 'Migos', 'GASHI']",Encore,Oh Me Oh My,48,256320,1,0.669,0.652,0,-4.245,1,0.0603,0.0314,0.0,0.158,0.0395,119.972,4,electronic,0.45350000000000007
1mElWOxIAwRJJCVNpIvuTK,['Tim McGraw'],Rock Christmas 2022 - The Very Best Of,Christmas All Over The World,0,166168,0,0.565,0.782,11,-5.098,0,0.0305,0.0341,0.0,0.0782,0.798,126.904,4,country,0.715
0l4DTppOxy7NUaEcwXuOb6,['Neon Trees'],Habits (Spotify),Animal,66,212306,0,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,4,alt-rock,0.6833333333333332
1hjg9erehrVq6UqlQiONgN,['Dumb Punts'],Coupla Couplas,Pissed On,25,111041,0,0.268,0.909,9,-4.284,1,0.149,0.000767,0.755,0.357,0.713,156.24,4,garage,0.63
4HFBNa5MPW7Y9i3XJ2RhCV,['The Viper'],Nothing To Lose,X-Terminate - T-1000 Mix,19,389920,1,0.623,0.939,1,-6.891,0,0.153,0.00609,0.723,0.486,0.148,158.051,4,happy,0.57
4w9LvWeLKwXJKNtMxqEzff,['Gersson Edinbaro'],Sonnathai Seivaar,Sonnathai Seivaar,27,225217,0,0.562,0.828,5,-6.462,0,0.204,0.204,0.0,0.089,0.845,103.519,3,malay,0.7450000000000001
2zbGXr2XCcRR40R7ymEENc,['Jefferson Airplane'],Surrealistic Pillow,Embryonic Journey,58,112093,0,0.293,0.354,2,-14.026,1,0.0282,0.804,0.919,0.154,0.487,107.642,4,psych-rock,0.37799999999999995
01Q4wU19hamqnhNjtuvTyI,['Cinderella'],Night Songs,Nobody's Fool,63,287400,0,0.367,0.445,9,-13.615,0,0.0286,0.0478,0.00284,0.163,0.149,67.197,4,hard-rock,0.32033333333333336
